"dt","brand","models","source","average_daily_price"
"2023-10-12","C1rca","AL 50 Slim ","CCS.com",69.95
"2023-10-20","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-01","Lakai","Telford Low ","Tactics.com",84.95
"2023-10-09","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-11","New","Balance 306 Foy ","CCS.com",89.95
"2023-10-08","Vans","Rowan ","CCS.com",84.95
"2023-10-01","DC","Lynx Zero ","CCS.com",69.95
"2023-10-09","Adidas","Superstar ADV ","Tactics.com",99.95
"2023-10-04","eS","x Chomp On Kicks Tribo x Vireo ","CCS.com",119.95
"2023-10-01","eS","Muska ","CCS.com",149.95
"2023-10-01","Nike SB","Leo ","Tactics.com",94.95
"2023-10-05","Adidas","Tyshawn ","CCS.com",89.95
"2023-10-04","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-23","Nike SB","SB Chron 2 ","CCS.com",74.95
"2023-10-08","Globe","Sabre ","CCS.com",159.95
"2023-10-07","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-10-20","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-09-30","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-06","eS","x Chomp On Kicks Tribo x Vireo ","CCS.com",119.95
"2023-10-23","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-10-06","Emerica","KSL G6 ","Tactics.com",94.95
"2023-10-12","Last Resort","VM003 - Canvas High Top ","Tactics.com",89.95
"2023-09-30","Rainbow Sandals","Kids Grombow Sandals","Tactics.com",0.0
"2023-10-06","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-04","Last Resort","Resort AB VM003 Suede Lo ","CCS.com",89.95
"2023-10-10","Reebok","BB 4000 II ","CCS.com",89.95
"2023-10-26","N/A","Previous","Tactics.com",0.0
"2023-10-06","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-11","Vans","Crockett High Decon ","CCS.com",89.95
"2023-10-15","Rainbow Sandals","Classic Rubber Single Layer Eco Sandals","Tactics.com",0.0
"2023-10-16","Adidas","Superstar ADV ","CCS.com",99.95
"2023-10-24","Converse","Louie Lopez Pro Mid ","Tactics.com",79.95
"2023-10-26","Adidas","Tyshawn ","CCS.com",89.95
"2023-10-28","Adidas","Samba ADV ","CCS.com",99.95
"2023-10-06","Vans","Skate Half Cab '92 Shoes","Tactics.com",94.95
"2023-10-25","Last Resort","VM003 - Suede High Top ","Tactics.com",99.95
"2023-10-25","Vans","Rowan 2 Pro ","Tactics.com",109.95
"2023-10-02","Adidas","Busenitz ","CCS.com",84.95
"2023-10-12","eS","Accel OG ","Tactics.com",89.95
"2023-10-22","DAKINE","Friendly Foam Vanish Sandals","Tactics.com",0.0
"2023-10-17","Lakai","Flaco II ","Tactics.com",79.95
"2023-10-14","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-11","Last Resort","Resort AB VM003 Suede Lo ","CCS.com",89.95
"2023-10-07","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-03","Vans","The Lizzie ","CCS.com",89.95
"2023-10-26","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-14","DC","x Ben G Truth ","CCS.com",139.95
"2023-10-17","Emerica","OG","CCS.com",94.95
"2023-10-27","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-23","Nike SB","SB Zoom Janoski OG+ ","CCS.com",94.95
"2023-10-04","Globe","Sabre ","CCS.com",159.95
"2023-10-18","Adidas","Busenitz ","CCS.com",84.95
"2023-10-13","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-08","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-20","eS","Accel OG ","Tactics.com",89.95
"2023-10-09","New","Balance Numeric 480 ","CCS.com",99.95
"2023-10-02","eS","Evant ","CCS.com",99.95
"2023-10-24","Last Resort","Resort AB x Spitfire VM001 Suede ","CCS.com",89.95
"2023-10-04","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-27","eS","The Muska ","Tactics.com",149.95
"2023-10-27","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-10-23","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-04","eS","Muska ","CCS.com",149.95
"2023-10-20","Converse","AS","CCS.com",79.95
"2023-10-11","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-16","DC","x Ben G Truth ","CCS.com",139.95
"2023-10-02","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-09-30","Nike SB","Leo ","Tactics.com",94.95
"2023-10-07","Nike SB","Ishod Wair PRM ","Tactics.com",0.0
"2023-10-02","Lakai","Manchester ","CCS.com",71.95
"2023-09-30","DC","Manual Hi ","Tactics.com",0.0
"2023-10-10","eS","x Chomp On Kicks Tribo x Vireo ","CCS.com",119.95
"2023-10-22","N/A","Previous","Tactics.com",0.0
"2023-10-02","Converse","Fastbreak Pro ","Tactics.com",79.95
"2023-10-18","Opus","Standard Low ","CCS.com",64.95
"2023-10-01","Vans","Sk8","CCS.com",104.95
"2023-10-08","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-17","Footprint","Liberty ","Tactics.com",0.0
"2023-10-03","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-02","eS","Muska ","CCS.com",149.95
"2023-10-27","Nike SB","SB React Leo ","CCS.com",94.95
"2023-10-12","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-01","Vans","Authentic VR3 Sf ","CCS.com",84.95
"2023-10-19","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-06","Emerica","OG","CCS.com",94.95
"2023-10-15","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-05","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-08","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-11","New","Balance 417 Franky Halloween ","CCS.com",94.95
"2023-10-19","Saucony","Shadow 6000 ","CCS.com",84.0
"2023-10-16","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-09-30","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-07","DAKINE","Friendly Foam Vanish Sandals","Tactics.com",0.0
"2023-10-17","Vans","Skate Half Cab &#39;92 ","CCS.com",94.95
"2023-09-30","Vans","x Hockey Skate Slip","CCS.com",79.95
"2023-10-26","Saucony","Shadow 6000 ","CCS.com",139.95
"2023-10-07","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-18","New","Balance 306 Foy ","CCS.com",89.95
"2023-10-15","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-19","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-01","Nike SB","SB Zoom Pogo Plus Prm ","CCS.com",94.95
"2023-10-01","Adidas","Superstar ADV ","Tactics.com",99.95
"2023-10-26","Lakai","Telford Low ","Tactics.com",84.95
"2023-10-28","New","Balance 580 ","CCS.com",129.95
"2023-10-22","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-13","Vans","Skate Half Cab '92 Shoes","Tactics.com",94.95
"2023-10-04","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-10","New","Balance 440 Hi ","CCS.com",63.0
"2023-10-23","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-03","Etnies","Joslin Vulc ","CCS.com",94.95
"2023-10-07","Nike SB","Leo ","Tactics.com",94.95
"2023-10-25","Converse","One Star Pro ","Tactics.com",74.95
"2023-10-21","Reebok","Club C Bulc ","CCS.com",89.95
"2023-10-28","Lakai","x Pacifico Owen Vlk ","CCS.com",64.95
"2023-10-22","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-20","New Balance","Numeric 808 Tiago Lemos ","Tactics.com",109.95
"2023-10-02","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-25","Etnies","Marana Michelin ","Tactics.com",104.95
"2023-10-14","Emerica","Wino G6 Slip-On Shoes","Tactics.com",69.95
"2023-10-19","DC","Metric S x Will ","CCS.com",109.95
"2023-10-03","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-26","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-25","DC","x Ben G Truth ","CCS.com",139.95
"2023-10-18","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-24","Opus","Standard Low ","CCS.com",64.95
"2023-10-15","Converse","Chuck Taylor All Star Pro ","Tactics.com",74.95
"2023-10-18","Last Resort","Resort AB VM002 Suede ","CCS.com",89.95
"2023-10-03","Lakai","Manchester ","CCS.com",71.95
"2023-10-17","New","Balance 440 Hi ","CCS.com",63.0
"2023-10-16","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-09","N/A","Previous","Tactics.com",0.0
"2023-10-06","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-09-30","New Balance","Numeric 306 Jamie Foy ","Tactics.com",89.95
"2023-10-18","Last Resort","VM003 - Canvas High Top ","Tactics.com",89.95
"2023-10-18","Adidas","Busenitz Pro ","Tactics.com",84.95
"2023-10-19","Globe","Mahalo ","CCS.com",84.95
"2023-10-07","New","Balance 440 Hi ","CCS.com",63.0
"2023-10-22","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-02","Vans","Skate Grosso Mid ","CCS.com",84.95
"2023-10-25","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-20","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-16","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-13","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-11","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-03","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-10-18","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-17","Adidas","Busenitz ","CCS.com",84.95
"2023-10-18","Opus","Court side Hi ","CCS.com",69.95
"2023-10-25","New","Balance 306 Foy ","CCS.com",89.95
"2023-10-18","Rainbow Sandals","Classic Rubber Single Layer Eco Sandals","Tactics.com",0.0
"2023-10-08","New","Balance 22 ","CCS.com",84.95
"2023-10-07","Converse","Louie Lopez Pro Mid ","Tactics.com",79.95
"2023-10-02","Adidas","Nora ","CCS.com",67.98
"2023-10-15","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-10-06","New","Balance 417 Franky Halloween ","CCS.com",94.95
"2023-10-20","Adidas","Tyshawn Pro ","Tactics.com",89.95
"2023-10-13","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-17","Nike SB","SB Zoom Janoski OG+ ","CCS.com",94.95
"2023-10-05","New Balance","Numeric 1010 Tiago Lemos ","Tactics.com",109.95
"2023-10-28","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-06","Converse","Chuck Taylor All Star Pro Mid ","Tactics.com",74.95
"2023-10-13","New","Balance 808 Tiago ","CCS.com",77.0
"2023-10-18","eS","Penny 2 ","CCS.com",99.95
"2023-10-28","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-10-14","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-25","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-12","Vans","Crockett High Decon ","CCS.com",89.95
"2023-10-03","DC","Lynx Zero ","CCS.com",69.95
"2023-10-12","Adidas","Nora ","CCS.com",67.98
"2023-10-10","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-10-09","C1rca","AL 50 Slim ","CCS.com",69.95
"2023-10-22","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-23","DC","JS 1 ","CCS.com",139.95
"2023-10-20","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-10-01","Nike SB","SB Zoom Janoski OG+ ","CCS.com",94.95
"2023-10-11","New","Balance 440 Hi ","CCS.com",63.0
"2023-10-15","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-07","Adidas","Superstar ADV ","Tactics.com",99.95
"2023-10-08","Lakai","Terrace ","Tactics.com",86.95
"2023-10-10","Last Resort","Resort AB VM002 Suede ","CCS.com",89.95
"2023-10-26","New","Balance 580 ","CCS.com",129.95
"2023-10-07","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-10-10","Lakai","Terrace ","Tactics.com",86.95
"2023-10-11","Thirtytwo","The Lounger Slippers","Tactics.com",79.95
"2023-10-02","DC","Manual Hi ","Tactics.com",0.0
"2023-10-26","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-28","Opus","Court side Hi ","CCS.com",69.95
"2023-10-22","Reebok","Pump Tz ","CCS.com",159.95
"2023-10-17","Vans","Wayvee ","CCS.com",94.95
"2023-10-17","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-22","DC","Manual Hi ","Tactics.com",0.0
"2023-10-15","New","Balance 417 Franky Halloween ","CCS.com",94.95
"2023-10-11","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-16","New Balance","Numeric 1010 Tiago Lemos ","Tactics.com",109.95
"2023-10-06","Vans","Skate Half Cab ","CCS.com",84.95
"2023-10-09","Vans","Skate Half Cab ","CCS.com",84.95
"2023-10-25","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-18","Thirtytwo","The Lounger Slippers","Tactics.com",79.95
"2023-10-22","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-16","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-14","Converse","Louie Lopez Pro Mid ","CCS.com",71.96
"2023-10-07","N/A","Previous","Tactics.com",0.0
"2023-10-08","Emerica","Provost G6 ","Tactics.com",84.95
"2023-10-25","Emerica","Wino G6 Slip-On Shoes","Tactics.com",72.45
"2023-10-05","Vans","Crockett High Decon ","CCS.com",89.95
"2023-10-20","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-22","Opus","Court Low ","CCS.com",59.95
"2023-09-30","Vans","Skate Style 53 ","CCS.com",74.95
"2023-10-11","Converse","Chuck Taylor All Star Pro ","Tactics.com",74.95
"2023-09-30","Last Resort","VM003 - Suede Low Top ","Tactics.com",89.95
"2023-10-21","Opus","Court side Hi ","CCS.com",69.95
"2023-10-20","Globe","Mahalo ","CCS.com",84.95
"2023-10-22","Last Resort","Resort AB x Spitfire VM001 Suede ","CCS.com",89.95
"2023-10-22","Last Resort","Resort AB x Spitfire VM003 Canvas ","CCS.com",89.95
"2023-10-25","Saucony","Shadow 6000 ","CCS.com",139.95
"2023-10-25","Thirtytwo","Digger Boots","Tactics.com",174.95
"2023-10-03","Globe","Gillette ","CCS.com",119.95
"2023-10-11","Etnies","Marana Michelin ","Tactics.com",104.95
"2023-10-16","Globe","Mahalo ","CCS.com",84.95
"2023-10-03","DC","Pure High","CCS.com",94.95
"2023-10-28","New Balance","Numeric 306 Jamie Foy ","Tactics.com",89.95
"2023-10-07","DC","Metric S x Will ","CCS.com",109.95
"2023-10-02","Emerica","Gamma G6 ","CCS.com",94.95
"2023-10-26","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-18","Converse","Louie Lopez Pro Mid ","CCS.com",71.96
"2023-10-14","New","Balance 440 Hi ","CCS.com",63.0
"2023-10-27","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-10-27","Lakai","Cambridge ","Tactics.com",76.95
"2023-10-12","Vans","Rowan ","CCS.com",84.95
"2023-10-23","DAKINE","Friendly Foam Vanish Sandals","Tactics.com",0.0
"2023-10-26","DC","Metric S x Will ","CCS.com",109.95
"2023-10-18","Vans","Skate Half Cab '92 Shoes","Tactics.com",94.95
"2023-10-21","C1rca","Tave TT ","CCS.com",79.95
"2023-10-24","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-16","New","Balance 808 Tiago ","CCS.com",77.0
"2023-10-08","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-21","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-02","Vans","Zahba Mid ","CCS.com",77.0
"2023-10-27","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-13","Last Resort","VM003 - Suede High Top ","Tactics.com",99.95
"2023-10-18","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-10-16","DC","Manual Hi ","Tactics.com",0.0
"2023-10-20","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-10","DC","Manual Hi ","Tactics.com",0.0
"2023-10-22","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-06","C1rca","Buckler Sk ","CCS.com",69.95
"2023-10-21","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-25","Lakai","Telford Low ","Tactics.com",84.95
"2023-10-06","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-13","C1rca","AL 50 Slim ","CCS.com",69.95
"2023-10-18","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-10-24","Converse","One Star Pro ","Tactics.com",74.95
"2023-10-04","New Balance","Numeric 1010 Tiago Lemos ","Tactics.com",109.95
"2023-10-07","Vans","Skate Half Cab '92 Shoes","Tactics.com",94.95
"2023-10-01","Globe","Dover II Vibram ","CCS.com",199.95
"2023-10-24","Reebok","Club C Bulc ","CCS.com",89.95
"2023-10-22","Reebok","Club C 85 ","CCS.com",84.95
"2023-10-13","Last Resort","Resort AB VM002 Suede ","CCS.com",89.95
"2023-10-05","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-02","Converse","Chuck Taylor All Star Pro Mid ","Tactics.com",74.95
"2023-10-23","Lakai","x Pacifico Owen Vlk ","CCS.com",64.95
"2023-09-30","Nike SB","SB React Leo ","CCS.com",94.95
"2023-10-07","Lakai","Essex ","Tactics.com",74.95
"2023-10-25","Lakai","Terrace ","Tactics.com",86.95
"2023-10-01","Adidas","Samba ADV ","Tactics.com",99.95
"2023-10-22","Etnies","MC Rap Hi ","Tactics.com",94.95
"2023-09-30","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-10-22","New","Balance 580 ","CCS.com",129.95
"2023-10-07","Adidas","Superstar ADV ","CCS.com",99.95
"2023-09-30","Converse","AS","CCS.com",79.95
"2023-10-17","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-09-30","Vans","Skate Half Cab &#39;92 ","CCS.com",94.95
"2023-10-23","Lakai","Telford Low ","Tactics.com",87.95
"2023-10-22","eS","The Muska ","Tactics.com",149.95
"2023-10-21","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-14","Vans","Skate Half Cab '92 Shoes","Tactics.com",94.95
"2023-10-27","Adidas","Busenitz ","CCS.com",84.95
"2023-10-03","Vans","Wayvee ","CCS.com",94.95
